feature,laymen_name
crclscod_ZA,Credit class code belongs/not belongs to ZA
creditcd_Missing,Credit class code belongs/not belongs to NA
creditcd_N,Credit card indicator belongs/not belongs to No
creditcd_Y,Credit card indicator belongs/not belongs to Yes
custcare_Mean,Mean number of customer care calls
da_Mean,Mean number of directory assisted calls
drop_vce_Mean,Mean number of dropped (failed) voice calls
dualband_N,Dualband belongs/not belongs to N
dualband_T,Dualband belongs/not belongs to T
dualband_Y,Dualband belongs/not belongs to Y
dwllsize_A,Dwelling size belongs/not belongs to A
dwllsize_B,Dwelling size belongs/not belongs to B
dwllsize_C,Dwelling size belongs/not belongs to C
dwllsize_J,Dwelling size belongs/not belongs to J
dwllsize_Missing,Dwelling size belongs/not belongs to NA
dwllsize_O,Dwelling size belongs/not belongs to O
dwlltype_M,Dwelling size belongs/not belongs to M
eqpdays,Number of days (age) of current equipment
ethnic_B,Ethnicity roll-up code belongs/not belongs to B
ethnic_F,Ethnicity roll-up code belongs/not belongs to F
ethnic_G,Ethnicity roll-up code belongs/not belongs to G
ethnic_H,Ethnicity roll-up code belongs/not belongs to H
ethnic_I,Ethnicity roll-up code belongs/not belongs to I
ethnic_J,Ethnicity roll-up code belongs/not belongs to J
ethnic_N,Ethnicity roll-up code belongs/not belongs to N
ethnic_O,Ethnicity roll-up code belongs/not belongs to O
ethnic_R,Ethnicity roll-up code belongs/not belongs to R
ethnic_S,Ethnicity roll-up code belongs/not belongs to S
ethnic_U,Ethnicity roll-up code belongs/not belongs to U
ethnic_Z,Ethnicity roll-up code belongs/not belongs to Z
fe_mean_per_minute_charge,Mean Talktime per unit Charge
fe_tot_mou_adj,Total minutes of use adjusted
fe_tot_mou_per_call,Mean Total minutes of use per call
fe_tot_revenue_adj,Total Revenue Adjustment
fe_tot_revenue_per_call,Mean total revenue per call
HHstatin_A,Premier household status indicator belongs/not belongs to A
HHstatin_B,Premier household status indicator belongs/not belongs to B
HHstatin_C,Premier household status indicator belongs/not belongs to C
HHstatin_G,Premier household status indicator belongs/not belongs to G
HHstatin_I,Premier household status indicator belongs/not belongs to I
HHstatin_Missing,Premier household status indicator belongs/not belongs to NA
hnd_price,Current handset price
hnd_webcap_Missing,Handset web capability belongs/not belongs  NA
hnd_webcap_WC,Handset web capability belongs/not belongs  WC
hnd_webcap_WCMB,Handset web capability belongs/not belongs NA
income,Estimated income
infobase_M,InfoBase match belongs/not belongs to M
infobase_Missing,InfoBase match belongs/not belongs to NA
iwylis_vce_Mean,iwylis voice mean
kid0_2_U,Child 0 - 2 years of age in household belongs/not belongs to U
kid0_2_Y,Child 0 - 2 years of age in household belongs/not belongs to Y
kid11_15_U,Child 11 - 15 years of age in household belongs/not belongs to U
kid11_15_Y,Child 11 - 15 years of age in household belongs/not belongs to Y
kid16_17_U,Child 16 - 17 years of age in household belongs/not belongs to U
kid16_17_Y,Child 16 - 17 years of age in household belongs/not belongs to Y
kid3_5_U,Child 3 - 5 years of age in household belongs/not belongs to U
kid3_5_Y,Child 3 - 5 years of age in household belongs/not belongs to Y
kid6_10_U,Child 6 - 10 years of age in household belongs/not belongs to U
kid6_10_Y,Child 6 - 10 years of age in household belongs/not belongs to Y
lor,Length of residence
marital_A,Marital Status belongs/not belongs to A
marital_B,Marital Status belongs/not belongs to B
marital_M,Marital Status belongs/not belongs to M
marital_S,Marital Status belongs/not belongs to S
marital_U,Marital Status belongs/not belongs to U
months,Total number of months in service
mou_Mean,Mean number of monthly minutes of use
new_cell_N,New cell phone user belongs/not belongs to N
new_cell_U,New cell phone user belongs/not belongs to U
new_cell_Y,New cell phone user belongs/not belongs to Y
numbcars,Known number of vehicles
ovrmou_Mean,Mean overage minutes of use
ownrent_Missing,Home owner/renter status belongs/not belongs to NA
ownrent_O,Home owner/renter status belongs/not belongs to O
ownrent_R,Home owner/renter status belongs/not belongs to R
phones,Number of handsets issued
plcd_dat_Mean,Mean number of attempted data calls placed
prizm_social_one_C,Social group letter only belongs/not belongs to C
prizm_social_one_Missing,Social group letter only belongs/not belongs to NA
prizm_social_one_R,Social group letter only belongs/not belongs to R
prizm_social_one_S,Social group letter only belongs/not belongs to S
prizm_social_one_T,Social group letter only belongs/not belongs to T
prizm_social_one_U,Social group letter only belongs/not belongs to U
refurb_new_N,Handset: refurbished or new belongs/not belongs to N
refurb_new_R,Handset: refurbished or new belongs/not belongs to R
rev_Mean,Mean monthly revenue (charge amount)
roam_Mean,Mean number of roaming calls
threeway_Mean,Mean number of three way calls
totcalls,Total number of calls over the life of the customer
totmrc_Mean,Mean total monthly recurring charge
totrev,Total revenue
truck,Truck indicator
unan_vce_Mean,Mean number of unanswered voice calls
uniqsubs,Number of unique subscribers in the household
